66,What are the disease ontology related to ndi,What are the disease ontology related to ndi
67,What is the omim related to ndi,What is the omim related to ndi
67,ndi's omim,ndi's omim
67,What are the omim related to ndi,What are the omim related to ndi
68,What is the environment related to ndi,What is the environment related to ndi
68,ndi's environment,ndi's environment
68,What are the environment related to ndi,What are the environment related to ndi
68,What environment causes ndi,What environment cause ndi
68,What environmental factors are related to ndi,What environmental factor are related to ndi
68,What exposure are related to ndi,What exposure are related to ndi
68,What exposure is related to ndi,What exposure is related to ndi
69,What is the ontology related to ndi,What is the ontology related to ndi
69,ndi's ontology,ndi's ontology
69,What are the ontology related to ndi,What are the ontology related to ndi
70,npa,npa
70,what is npa,what is npa
71,the id of npa,the id of npa
71,npa's id,npa's id
71,what's the id of npa,what's the id of npa
72,npa's name,npa's name
72,What is the name of npa,What is the name of npa
73,What is the chemical related to npa,What is the chemical related to npa
73,npa's chemical,npa's chemical
73,What are the chemical related to npa,What are the chemical related to npa
74,What is the gene related to npa,What is the gene related to npa
74,npa's gene,npa's gene
74,What are the gene related to npa,What are the gene related to npa
75,What is the disease related to ndi,What is the disease related to ndi
75,ndi's disease,ndi's disease
75,What are the disease related to ndi,What are the disease related to ndi
